mz,intensity
101.1076431274414,88174.3046875
102.05530548095703,99394.96875
103.67581176757812,89758.21875
103.67997741699219,27333.45703125
103.80159759521484,19905.779296875
110.0625991821289,50497.61328125
110.07159423828125,8386506
110.07852935791016,38006.77734375
110.08047485351562,45905.8125
110.08316802978516,25129.69140625
111.06842041015625,41591.61328125
111.07490539550781,239885.140625
111.09220886230469,13741.9853515625
113.07125091552734,78213.5078125
115.08665466308594,15049.8193359375
121.03976440429688,59634.02734375
123.05522918701172,19927.669921875
129.1023406982422,1921744.125
130.04994201660156,21976.986328125
130.08636474609375,1653360.875
130.0980224609375,17016.00390625
130.10525512695312,71412.546875
130.31076049804688,20340.1328125
131.08155822753906,113275.8984375
131.08973693847656,48465.37890625
136.0869140625,239037.28125
138.0662078857422,395557.5625
139.0694122314453,22657.65234375
141.06582641601562,32930.796875
141.1019287109375,14968.9521484375
142.39329528808594,12828.56640625
143.11778259277344,88400.1015625
147.11280822753906,2106026.75
148.11595153808594,69393.7421875
152.45042419433594,12030.13671875
155.0760040283203,23940.962890625
155.08229064941406,35317.484375
155.09246826171875,14748.498046875
155.1180877685547,23232.64453125
156.07643127441406,17994.74609375
157.0972137451172,23104.044921875
158.09156799316406,15141.26953125
159.07647705078125,93201.2890625
159.1125946044922,13476.765625
162.733642578125,11524.32421875
164.0818634033203,220290.421875
166.0609588623047,108901.640625
166.09771728515625,15648.7490234375
167.11817932128906,24312.6953125
169.06076049804688,23320.94921875
169.09706115722656,39167.89453125
171.11280822753906,124430.96875
172.83497619628906,51069.96875
172.8443603515625,30630.62890625
175.1190643310547,28723.822265625
181.10836791992188,2388131
182.1122283935547,109811.34375
185.1282958984375,27011.68359375
186.12380981445312,24280.525390625
187.0715789794922,27641.83984375
187.1076202392578,92861.7421875
189.08731079101562,37446.546875
192.07656860351562,115594.9765625
193.1083221435547,18364.73046875
195.08688354492188,17661.421875
195.11302185058594,21208.76171875
199.07147216796875,52816.296875
204.13404846191406,15270.5546875
209.0800323486328,33180.81640625
209.1033477783203,4934126
210.10707092285156,218858.421875
212.1390838623047,108216.21875
213.12326049804688,75439.1015625
217.08189392089844,197722.96875
224.1026611328125,17222.009765625
225.1347198486328,13937.986328125
225.32745361328125,61529.50390625
226.11851501464844,41407.7109375
230.14999389648438,293378.78125
231.13381958007812,30864.69140625
237.13601684570312,12616.263671875
240.0972137451172,13551.103515625
240.1338653564453,64259.30859375
242.11289978027344,22245.916015625
243.1458282470703,18676.04296875
244.16586303710938,16775.828125
247.97206115722656,12218.0986328125
248.1604766845703,751932.25
248.1820068359375,15525.689453125
248.6292266845703,29838.541015625
249.16360473632812,39643.4375
252.09719848632812,21203.119140625
252.1339111328125,18718.189453125
253.621337890625,98935.5078125
254.12306213378906,17916.53125
256.0926818847656,27461.083984375
258.14520263671875,91849.921875
261.1564636230469,24674.08203125
262.166259765625,41088.34375
262.6270751953125,40600.12890625
265.1297607421875,37570.44921875
266.1238708496094,16766.58203125
268.1659851074219,19806.58203125
269.1612548828125,103922.9609375
270.10845947265625,57704.4453125
270.1446838378906,56680.4609375
272.5021667480469,13188.4208984375
274.103271484375,214056.734375
280.1773986816406,41944.9921875
287.17144775390625,218486.671875
288.1186828613281,44735.94140625
288.1739807128906,29195.169921875
290.1611328125,1021167.875
291.13653564453125,46028.88671875
291.1641845703125,104552.3671875
292.1770935058594,21996.642578125
293.1239318847656,15262.203125
296.1349792480469,19908.005859375
298.13922119140625,61740.5859375
300.64569091796875,14667.9599609375
302.3749084472656,19989.12109375
302.39190673828125,15360.6806640625
305.1818542480469,1654313.25
306.1853332519531,119569.4296875
308.17156982421875,967269.125
308.201416015625,18403.1171875
309.1743469238281,81885.3046875
309.6531982421875,53391.00390625
316.1507568359375,20372.595703125
317.1445617675781,12732.578125
318.6585693359375,293780.15625
318.6798095703125,16996.38671875
319.1599426269531,54665.06640625
320.17230224609375,23838.091796875
323.6513366699219,16425.11328125
324.1301574707031,21371.25390625
327.1288757324219,17805.765625
327.66357421875,16665.068359375
329.14520263671875,14189.3037109375
330.1302185058594,16364.2529296875
332.6553649902344,26087.798828125
339.1298522949219,46370.265625
341.18243408203125,27289.533203125
341.6611022949219,51257.21875
342.1615295410156,13506.1181640625
345.14129638671875,29181.5703125
